# Matter power spectrum P(k) at redshift z=0
# for k=9.66272e-06 to 139.669 h/Mpc,
# number of wavenumbers equal to 3581
#    1:k (h/Mpc)              2:P (Mpc/h)^3        
       4.582466958718e-05       2.805761130181e+02 
       4.603618665157e-05       2.818229957937e+02 
       4.624868003437e-05       2.830754185817e+02 
       4.646215424206e-05       2.843334028521e+02 
       4.667661380193e-05       2.855969750305e+02 
       4.689206326214e-05       2.868661635002e+02 
       4.710850719188e-05       2.881409895083e+02 
       4.732595018141e-05       2.894214814039e+02 
       4.754439684217e-05       2.907076594219e+02 
       4.776385180691e-05       2.919995506100e+02 
       4.798431972974e-05       2.932971842167e+02 
       4.820580528626e-05       2.946005796142e+02 
       4.842831317366e-05       2.959097681744e+02 
       4.865184811081e-05       2.972247690318e+02 
       4.887641483834e-05       2.985456141660e+02 
       4.910201811880e-05       2.998723250142e+02 
       4.932866273668e-05       3.012049319449e+02 
       4.955635349859e-05       3.025434585730e+02 
       4.978509523330e-05       3.038879337707e+02 
       5.001489279189e-05       3.052383787861e+02 
       5.024575104781e-05       3.065948243286e+02 
       5.047767489703e-05       3.079572949432e+02 
       5.071066925809e-05       3.093258186119e+02 
       5.094473907226e-05       3.107004188537e+02 
       5.117988930361e-05       3.120811293447e+02 
       5.141612493911e-05       3.134679703378e+02 
       5.165345098875e-05       3.148609733055e+02 
       5.189187248567e-05       3.162601646327e+02 
       5.213139448622e-05       3.176655713758e+02 
       5.237202207009e-05       3.190772214302e+02 
       5.261376034042e-05       3.204951414158e+02 
       5.285661442391e-05       3.219193603513e+02 
       5.310058947091e-05       3.233499067100e+02 
       5.334569065557e-05       3.247868052343e+02 
       5.359192317589e-05       3.262300888573e+02 
       5.383929225389e-05       3.276797834251e+02 
       5.408780313567e-05       3.291359157436e+02 
       5.433746109156e-05       3.305985184700e+02 
       5.458827141622e-05       3.320676171224e+02 
       5.484023942874e-05       3.335432416400e+02 
       5.509337047276e-05       3.350254184565e+02 
       5.534766991659e-05       3.365141817818e+02 
       5.560314315333e-05       3.380095568762e+02 
       5.585979560094e-05       3.395115742265e+02 
       5.611763270243e-05       3.410202629815e+02 
       5.637665992590e-05       3.425356536324e+02 
       5.663688276472e-05       3.440577730671e+02 
       5.689830673758e-05       3.455866582162e+02 
       5.716093738868e-05       3.471223302045e+02 
       5.742478028778e-05       3.486648245575e+02 
       5.768984103037e-05       3.502141693173e+02 
       5.795612523776e-05       3.517703936193e+02 
       5.822363855721e-05       3.533335338461e+02 
       5.849238666203e-05       3.549036153193e+02 
       5.876237525175e-05       3.564806705116e+02 
       5.903361005217e-05       3.580647295175e+02 
       5.930609681555e-05       3.596558248487e+02 
       5.957984132068e-05       3.612539866614e+02 
       5.985484937304e-05       3.628592481464e+02 
       6.013112680489e-05       3.644716378559e+02 
       6.040867947542e-05       3.660911889464e+02 
       6.068751327087e-05       3.677179327946e+02 
       6.096763410465e-05       3.693518998104e+02 
       6.124904791745e-05       3.709931268781e+02 
       6.153176067739e-05       3.726416413840e+02 
       6.181577838013e-05       3.742974775462e+02 
       6.210110704903e-05       3.759606672261e+02 
       6.238775273523e-05       3.776312443917e+02 
       6.267572151779e-05       3.793092398124e+02 
       6.296501950387e-05       3.809946849904e+02 
       6.325565282877e-05       3.826876179030e+02 
       6.354762765615e-05       3.843880692179e+02 
       6.384095017810e-05       3.860960707361e+02 
       6.413562661530e-05       3.878116623331e+02 
       6.443166321713e-05       3.895348675770e+02 
       6.472906626182e-05       3.912657260546e+02 
       6.502784205661e-05       3.930042721741e+02 
       6.532799693780e-05       3.947505380541e+02 
       6.562953727097e-05       3.965045576113e+02 
       6.593246945108e-05       3.982663698919e+02 
       6.623679990260e-05       4.000360018418e+02 
       6.654253507966e-05       4.018134957518e+02 
       6.684968146618e-05       4.035988802152e+02 
       6.715824557601e-05       4.053921953039e+02 
       6.746823395305e-05       4.071934709475e+02 
       6.777965317143e-05       4.090027468099e+02 
       6.809250983562e-05       4.108200566969e+02 
       6.840681058055e-05       4.126454339716e+02 
       6.872256207180e-05       4.144789194077e+02 
       6.903977100572e-05       4.163205448364e+02 
       6.935844410955e-05       4.181703497464e+02 
       6.967858814159e-05       4.200283653546e+02 
       7.000020989135e-05       4.218946323326e+02 
       7.032331617965e-05       4.237691842565e+02 
       7.064791385882e-05       4.256520623441e+02 
       7.097400981280e-05       4.275432992044e+02 
       7.130161095731e-05       4.294429326618e+02 
       7.163072424000e-05       4.313510036688e+02 
       7.196135664058e-05       4.332675420581e+02 
       7.229351517098e-05       4.351925921372e+02 
       7.262720687550e-05       4.371261892175e+02 
       7.296243883094e-05       4.390683712230e+02 
       7.329921814679e-05       4.410191762925e+02 
       7.363755196532e-05       4.429786420687e+02 
       7.397744746181e-05       4.449468076661e+02 
       7.431891184463e-05       4.469237123442e+02 
       7.466195235542e-05       4.489093918466e+02 
       7.500657626927e-05       4.509038880329e+02 
       7.535279089483e-05       4.529072376327e+02 
       7.570060357449e-05       4.549194838546e+02 
       7.605002168454e-05       4.569406607560e+02 
       7.640105263530e-05       4.589708105792e+02 
       7.675370387131e-05       4.610099745457e+02 
       7.710798287147e-05       4.630581898888e+02 
       7.746389714920e-05       4.651154976845e+02 
       7.782145425259e-05       4.671819394402e+02 
       7.818066176458e-05       4.692575548463e+02 
       7.854152730311e-05       4.713423822696e+02 
       7.890405852128e-05       4.734364650814e+02 
       7.926826310753e-05       4.755398443029e+02 
       7.963414878577e-05       4.776525588719e+02 
       8.000172331556e-05       4.797746527294e+02 
       8.037099449230e-05       4.819061661946e+02 
       8.074197014734e-05       4.840471405396e+02 
       8.111465814820e-05       4.861976184282e+02 
       8.148906639872e-05       4.883576417237e+02 
       8.186520283920e-05       4.905272529032e+02 
       8.224307544660e-05       4.927064936311e+02 
       8.262269223471e-05       4.948954061676e+02 
       8.300406125431e-05       4.970940366006e+02 
